tourney_name,winner_name,loser_name
Brisbane,Andy Murray,Alexandr Dolgopolov
Chennai,Milos Raonic,Janko Tipsarevic
Doha,Jo-Wilfried Tsonga,Gael Monfils
Auckland,David Ferrer,Olivier Rochus
Sydney,Jarkko Nieminen,Julien Benneteau
Australian Open,Novak Djokovic,Rafael Nadal
Montpellier,Tomas Berdych,Gael Monfils
Santiago,Juan Monaco,Carlos Berlocq
Zagreb,Mikhail Youzhny,Lukas Lacko
Rotterdam,Roger Federer,Juan Martin del Potro
San Jose,Milos Raonic,Denis Istomin
Sao Paulo,Nicolas Almagro,Filippo Volandri
Buenos Aires,David Ferrer,Nicolas Almagro
Marseille,Juan Martin del Potro,Michael Llodra
Memphis,Jurgen Melzer,Milos Raonic
Acapulco,David Ferrer,Fernando Verdasco
Delray Beach,Kevin Anderson,Marinko Matosevic
Dubai,Roger Federer,Andy Murray
Indian Wells Masters,Roger Federer,John Isner
Miami Masters,Novak Djokovic,Andy Murray
Casablanca,Pablo Andujar,Albert Ramos
Houston,Juan Monaco,John Isner
Monte Carlo Masters,Rafael Nadal,Novak Djokovic
Barcelona,Rafael Nadal,David Ferrer
Bucharest,Gilles Simon,Fabio Fognini
Belgrade,Andreas Seppi,Benoit Paire
Estoril,Juan Martin del Potro,Richard Gasquet
Munich,Philipp Kohlschreiber,Marin Cilic
Madrid Masters,Roger Federer,Tomas Berdych
Rome Masters,Rafael Nadal,Novak Djokovic
Nice,Nicolas Almagro,Brian Baker
Dusseldorf,Janko Tipsarevic,Tomas Berdych
Dusseldorf,Viktor Troicki,Radek Stepanek
Roland Garros,Rafael Nadal,Novak Djokovic
Halle,Tommy Haas,Roger Federer
Queen's Club,Marin Cilic,David Nalbandian
s Hertogenbosch,David Ferrer,Philipp Petzschner
Eastbourne,Andy Roddick,Andreas Seppi
Wimbledon,Roger Federer,Andy Murray
Bastad,David Ferrer,Nicolas Almagro
Newport,John Isner,Lleyton Hewitt
Stuttgart,Janko Tipsarevic,Juan Monaco
Umag,Marin Cilic,Marcel Granollers
Atlanta,Andy Roddick,Gilles Muller
Gstaad,Thomaz Bellucci,Janko Tipsarevic
Hamburg,Juan Monaco,Tommy Haas
Kitzbuhel,Robin Haase,Philipp Kohlschreiber
Los Angeles,Sam Querrey,Ricardas Berankis
London Olympics,Andy Murray,Roger Federer
Washington,Alexandr Dolgopolov,Tommy Haas
Canada Masters,Novak Djokovic,Richard Gasquet
Cincinnati Masters,Roger Federer,Novak Djokovic
Winston-Salem,John Isner,Tomas Berdych
US Open,Andy Murray,Novak Djokovic
Metz,Jo-Wilfried Tsonga,Andreas Seppi
St. Petersburg,Martin Klizan,Fabio Fognini
Bangkok,Richard Gasquet,Gilles Simon
Kuala Lumpur,Juan Monaco,Julien Benneteau
Beijing,Novak Djokovic,Jo-Wilfried Tsonga
Tokyo,Kei Nishikori,Milos Raonic
Shanghai Masters,Novak Djokovic,Andy Murray
Moscow,Andreas Seppi,Thomaz Bellucci
Stockholm,Tomas Berdych,Jo-Wilfried Tsonga
Vienna,Juan Martin del Potro,Grega Zemlja
Valencia,David Ferrer,Alexandr Dolgopolov
Basel,Juan Martin del Potro,Roger Federer
Paris Masters,David Ferrer,Jerzy Janowicz
Tour Finals,Novak Djokovic,Roger Federer
